index,date_start,date_end,date,era,event,Source,type
0,-3200,-3200,c. 3200 BCE,Ancient & Classical,Sumerian cuneiform writing system and Egyptian hieroglyphs,,Science & Technology
1,-3200,-3200,c. 3200 BCE,Ancient & Classical,Newgrange built in Ireland,,Politics & Power
2,-3150,-3150,c. 3150 BCE,Ancient & Classical,First Dynasty of Egypt,,Politics & Power
3,-3100,-3100,c. 3100 BCE,Ancient & Classical,Skara Brae in Scotland,,Politics & Power
4,-3000,-3000,c. 3000 BCE,Ancient & Classical,Egyptian calendar,,Science & Technology
5,-3000,-3000,c. 3000 BCE,Ancient & Classical,"Stonehenge construction begins. In its first version, it consisted of a circular ditch and bank, with 56 wooden posts.",,Culture & Arts
6,-3000,-3000,c. 3000 BCE,Ancient & Classical,First known use of papyrus by Egyptians,,Science & Technology
7,-2700,-2700,c. 2700 BCE,Ancient & Classical,"Minoan Civilization ancient palace city Knossos reaches 80,000 inhabitants.",,Politics & Power
8,-2700,-2700,c. 2700 BCE,Ancient & Classical,Rise of Elam in Iran,,Politics & Power
9,-2700,-2700,c. 2700 BCE,Ancient & Classical,The Epic of Gilgamesh becomes the first written story,,Culture & Arts
10,-2700,-2700,c. 2700 BCE,Ancient & Classical,The Old Kingdom begins in Egypt,,Politics & Power
11,-2600,-2600,c. 2600 BCE,Ancient & Classical,"Oldest known surviving literature: Sumerian texts from Abu Salabikh, including the Instructions of Shuruppak and the Kesh temple hymn.",,Religion
12,-2600,-2600,c. 2600 BCE,Ancient & Classical,Mature Harappan phase of the Indus Valley civilization (in present-day Pakistan and India) begins,,Politics & Power
13,-2600,-2600,c. 2600 BCE,Ancient & Classical,Emergence of Maya culture in the Yucatán Peninsula,,Politics & Power
14,-2560,-2560,2560 BCE,Ancient & Classical,King Khufu completes the Great Pyramid of Giza. The Land of Punt in the Horn of Africa first appears in Egyptian records around this time.,,Culture & Arts
15,-2500,-2500,c. 2500 BCE,Ancient & Classical,The mammoth goes extinct.,,Politics & Power
16,-2334,-2270,2334 or 2270 BCE,Ancient & Classical,"Akkadian Empire is founded, dating depends upon whether the Middle chronology or the Short chronology is used.",,Politics & Power
17,-2200,-2200,2200 BCE,Ancient & Classical,completion of Stonehenge.,,Culture & Arts
18,-2055,-2055,2055 BCE,Ancient & Classical,The Middle Kingdom begins in Egypt,,Politics & Power
19,-2000,-2000,2000 BCE,Ancient & Classical,Domestication of the horse,,Science & Technology
20,-1800,-1800,1800 BCE,Ancient & Classical,alphabetic writing emerges,,Politics & Power
21,-1780,-1780,1780 BCE,Ancient & Classical,Oldest Record of Hammurabi's Code.,,Politics & Power
22,-1700,-1700,1700 BCE,Ancient & Classical,Indus Valley Civilization comes to an end but is continued by the Cemetery H culture,,Politics & Power
23,-1600,-1600,1600 BCE,Ancient & Classical,Minoan civilization on Crete is destroyed by the Minoan eruption of Santorini island.,,Politics & Power
24,-1600,-1600,1600 BCE,Ancient & Classical,Mycenaean Greece,,Politics & Power
25,-1600,-1600,1600 BCE,Ancient & Classical,"The beginning of Shang Dynasty in China, evidence of a fully developed Chinese writing system",,Science & Technology
26,-1600,-1600,1600 BCE,Ancient & Classical,Beginning of Hittite dominance of the Eastern Mediterranean region,,Politics & Power
27,-1550,-1550,c. 1550 BCE,Ancient & Classical,The  New Kingdom begins in Egypt,,Politics & Power
28,-1500,-1500,1500 BCE,Ancient & Classical,Composition of the Rigveda is completed,,Politics & Power
29,-1400,-1400,c. 1400 BCE,Ancient & Classical,Oldest known song with notation,,Politics & Power
30,-1400,-400,1400–400 BCE,Ancient & Classical,"Olmec civilization flourishes in Pre-Columbian Mexico, during Mesoamerica's Formative period",,Politics & Power
31,-1200,-1150,1200–1150 BCE,Ancient & Classical,Bronze Age collapse in Southwestern Asia and Eastern Mediterranean region. This forms the setting of the Iliad and the Odyssey epic poems which were composed about four centuries later.,,Science & Technology
32,-1180,-1180,c. 1180 BCE,Ancient & Classical,Disintegration of Hittite Empire,,Politics & Power
33,-1100,-1100,1100 BCE,Ancient & Classical,Use of Iron spreads.,,Politics & Power
34,-1046,-1046,1046 BCE,Ancient & Classical,The Zhou force (led by King Wu of Zhou) overthrow the last king of Shang Dynasty,,Politics & Power
35,-1000,-1000,c. 1000 BCE,Ancient & Classical,"King David begins his reign as the second King of Israel, after Saul",,Politics & Power
36,-970,-970,970 BCE,Ancient & Classical,"King Solomon begins his reign as third King of Israel, after David",,Politics & Power
